epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.921,0.71517,1.76827,0.97843,0.99077,0.9662,0.99333,0.87179,0.55418,1.51084,0.87229,0.000546984,0.000546984,0.000546984
2,289.578,0.71433,1.13055,0.95267,0.98007,1,0.995,0.87297,0.51867,0.94211,0.85197,0.00108082,0.00108082,0.00108082
3,394.785,0.72987,1.04674,0.96305,0.82393,0.87805,0.93591,0.82175,0.56964,1.5967,0.87856,0.00159265,0.00159265,0.00159265
4,503.78,0.7319,0.96507,0.97323,0.81244,0.97596,0.98133,0.8635,0.53879,1.07507,0.86215,0.00156798,0.00156798,0.00156798
5,616.718,0.71424,0.83557,0.94978,0.98985,0.97867,0.995,0.87162,0.57192,0.76929,0.85182,0.00153497,0.00153497,0.00153497
6,729.881,0.69382,0.75472,0.94321,0.97153,0.99829,0.995,0.88168,0.51869,0.64305,0.82854,0.00150197,0.00150197,0.00150197
7,844.858,0.67507,0.7401,0.94544,0.99582,1,0.995,0.86999,0.54343,0.57091,0.83049,0.00146896,0.00146896,0.00146896
8,959.075,0.67218,0.66947,0.93771,0.99661,1,0.995,0.88304,0.50313,0.52432,0.82958,0.00143595,0.00143595,0.00143595
9,1072.66,0.65578,0.61285,0.93575,0.99045,1,0.995,0.88184,0.50288,0.51503,0.83069,0.00140295,0.00140295,0.00140295
10,1186.4,0.66199,0.60076,0.94018,0.88336,0.93583,0.995,0.90453,0.48633,0.66647,0.82056,0.00136994,0.00136994,0.00136994
11,1300.05,0.65764,0.56953,0.9418,0.99565,1,0.995,0.88529,0.50143,0.42819,0.82479,0.00133693,0.00133693,0.00133693
12,1414.05,0.62995,0.53181,0.91402,0.96795,0.96504,0.995,0.89592,0.48405,0.41622,0.8109,0.00130393,0.00130393,0.00130393
13,1533.11,0.63763,0.51241,0.92305,0.96348,0.97805,0.99453,0.88191,0.49702,0.46504,0.81938,0.00127092,0.00127092,0.00127092
14,1668.03,0.60622,0.48048,0.92513,0.98308,0.95753,0.97907,0.86622,0.52287,0.48945,0.83133,0.00123791,0.00123791,0.00123791
15,1801.63,0.60411,0.46854,0.91364,0.99688,1,0.995,0.89703,0.5097,0.35715,0.82348,0.00120491,0.00120491,0.00120491
16,1936.55,0.63391,0.49056,0.93048,0.96039,0.99311,0.995,0.88252,0.50485,0.39314,0.81573,0.0011719,0.0011719,0.0011719
17,2068.44,0.60638,0.4575,0.91395,0.99729,1,0.995,0.88746,0.49869,0.33633,0.81951,0.00113889,0.00113889,0.00113889
18,2201.1,0.58678,0.44575,0.90038,0.99658,1,0.995,0.89552,0.47409,0.31523,0.81197,0.00110589,0.00110589,0.00110589
19,2333.07,0.59508,0.42596,0.91078,0.99773,1,0.995,0.89261,0.48387,0.29429,0.80853,0.00107288,0.00107288,0.00107288
20,2462.48,0.60903,0.42958,0.92469,0.99701,1,0.995,0.89931,0.46765,0.32549,0.81252,0.00103987,0.00103987,0.00103987
